Analysis Alias	File Name	File Type	MD5
pfx-20141022-combined	3d7_hb3.combined.final.vcf.gz	vcf	25a7d1a316295e25d1193b031ed3348e
pfx-20141022-combined	3d7_hb3.combined.final.vcf.gz.tbi	tabix	f4a461ceaa0e4d46557d049f1f80c064
pfx-20141022-combined	7g8_gb4.combined.final.vcf.gz	vcf	b39dee94fb8fb3d69434753cdd3370f5
pfx-20141022-combined	7g8_gb4.combined.final.vcf.gz.tbi	tabix	d6d5efeb6c5abd3caf5af31194cd7186
pfx-20141022-combined	hb3_dd2.combined.final.vcf.gz	vcf	b0d5b7a5eacb615b1f4a12e5a7856fab
pfx-20141022-combined	hb3_dd2.combined.final.vcf.gz.tbi	tabix	caedd35dca723e533bbce6ca6db1a5af
pfx-20141022-cortex	3d7_hb3.cortex.final.vcf.gz	vcf	188236e04c7768947192eebf7065c420
pfx-20141022-cortex	3d7_hb3.cortex.final.vcf.gz.tbi	tabix	ced20606b109126f92b9b3a59df18576
pfx-20141022-cortex	7g8_gb4.cortex.final.vcf.gz	vcf	46b27670948cc325233d649e6a9d577c
pfx-20141022-cortex	7g8_gb4.cortex.final.vcf.gz.tbi	tabix	5399e24b34cbfb360fb29d87a098a5fb
pfx-20141022-cortex	hb3_dd2.cortex.final.vcf.gz	vcf	66bd37eeedbcdfbb7fd0cb4288885563
pfx-20141022-cortex	hb3_dd2.cortex.final.vcf.gz.tbi	tabix	4dd018a3ab9388d460c89092bc4822fb
pfx-20141022-gatk	3d7_hb3.gatk.final.vcf.gz	vcf	922bb61fe92ce358a63bb83b85c6d5c5
pfx-20141022-gatk	3d7_hb3.gatk.final.vcf.gz.tbi	tabix	8f51f19913c365aebf537440e3121f48
pfx-20141022-gatk	7g8_gb4.gatk.final.vcf.gz	vcf	56c805623e024bd2b51422b4851af754
pfx-20141022-gatk	7g8_gb4.gatk.final.vcf.gz.tbi	tabix	d25e20e4d742d73e13e0c17a6c917c4c
pfx-20141022-gatk	hb3_dd2.gatk.final.vcf.gz	vcf	503ea320b05c31a87d17f217d2f06689
pfx-20141022-gatk	hb3_dd2.gatk.final.vcf.gz.tbi	tabix	044a2c7b8aaecbd3fbdaeace2b0dc346
