Sample Accession	Sampleset Accession	Analysis Alias	Description	Gender	Links	Attributes	Phenotypes	Disease Sites	Strain	Breed	Sample ID	Sample Title
ERS010539		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0004-CW	HB3
ERS010540		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0008-CW	DD2
ERS010544		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0045-C	QC23
ERS010541		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0016-C	QC13
ERS009988		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0041-C	7C170
ERS009986		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0021-C	GC03
ERS009989		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0042-C	7C183
ERS010581		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0023-C	1BB5
ERS009992		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0027-C	TC05
ERS009997		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0037-C	7C20
ERS010545		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0047-C	7C126
ERS009991		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0026-C	QC34
ERS009987		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0039-C	7C140
ERS009996		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0036-C	7C16
ERS010580		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0028-C	GC06
ERS009998		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0038-C	7C111
ERS009993		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0031-C	7C408
ERS009990		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0043-C	7C421
ERS009985		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0018-C	B4R3
ERS010144		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0044-C	7C424
ERS010147		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0015-C	B1SD
ERS010151		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0025-C	SC01
